Id,Predicted
4,2491.6702729002564
6,2487.705456127389
8,2717.6349237404247
9,2495.1760580462746
11,2510.131854441045
15,2447.2532615851205
19,2373.6171199357154
20,2450.2059760937555
32,2463.9551539949653
33,2392.762571871438
40,2513.4697085172
42,2393.8455749427912
46,2525.6867910075766
50,2516.8378571665453
57,2530.989980870933
59,2446.1356360031123
66,2605.3744372707756
73,2577.9395472375672
78,2391.828009840445
91,2446.623552341076
93,2610.283414890658
101,2379.0222724258238
102,2483.471934545023
106,2614.352926796575
111,2522.287113260163
113,2495.160152602471
114,2590.0547943767365
118,2524.9742826434117
119,2571.9293139201905
126,2570.0729738986283
127,2345.3778144330827
138,2419.4428929477535
143,2410.4544522252563
145,2492.911525115691
148,2563.1772423182038
151,2372.9883564976385
153,2488.2945501675426
157,2571.711780162291
159,2543.0378836268073
165,2421.8757599970404
170,2454.7364005305503
171,2495.229595359143
173,2462.3035431123913
177,2554.6211873377833
183,2595.653439669095
199,2587.95514874224
225,2525.8977100529914
231,2493.448166704471
232,2523.9732068839544
233,2388.8546466262783
238,2638.9908911874113
244,2639.533260815757
245,2526.3844161882976
247,2412.1244216699815
248,2409.801224551652
250,2306.460413166097
254,2503.2181025207165
255,2623.3626406450367
256,2580.7362001522465
257,2366.6985020170355
258,2394.035470261925
259,2434.14725769628
263,2554.557836478468
266,2433.6743463336948
267,2447.5863524196343
273,2593.4574550193115
274,2539.2886414818754
276,2550.219181370032
285,2575.128418755775
286,2679.4279043566794
288,2434.796745926277
299,2506.361089079452
305,2658.046623753712
307,2582.7182840010346
312,2564.007916038291
314,2535.7320299125713
315,2496.592795800182
316,2539.9477001249766
323,2643.9730444882916
326,2558.8031327097833
327,2419.730445420572
329,2630.0952577338353
330,2544.289562941841
331,2480.037573579222
333,2515.395266163332
336,2535.8612110657964
337,2507.8053493309885
338,2458.0421976882717
340,2518.814575313696
344,2636.522343793792
346,2571.436376147446
349,2479.995623600662
350,2526.869437343852
359,2612.139699678705
361,2688.2519789606827
363,2564.285507974267
365,2454.032208014065
373,2479.7346560527394
376,2586.538030352161
382,2450.0067999697385
387,2433.2220925090783
388,2534.7510810696717
392,2407.8600547105025
394,2479.434203741782
399,2392.7970033465454
406,2288.453831600365
408,2509.6513626111187
419,2624.0235190834155
422,2524.5080054357727
425,2533.949263269145
427,2458.158991992662
433,2606.3845501531537
442,2465.393343313772
451,2472.976108950301
457,2554.0528831532365
458,2454.442853199716
459,2339.0020462587086
462,2473.9596827443993
472,2526.1931500246897
474,2475.7347145399926
487,2527.4433763645584
491,2341.7621496183733
493,2608.480669768522
494,2478.8021276747395
499,2524.6691265931295
502,2589.71998152845
503,2576.378407580024
504,2430.7155655696743
508,2532.5421860258616
513,2412.3958159575373
524,2712.7611400869614
525,2431.578510522717
528,2636.2822931261394
531,2658.5107102476527
541,2653.930641013412
551,2573.3022343738094
553,2547.0473294636513
580,2483.0832484783373
583,2482.6892385141055
586,2592.616633089519
587,2549.812120376348
598,2729.99491021272
602,2399.494197225944
603,2410.8585316145077
605,2498.6240238621244
612,2659.927355394501
613,2306.634863781535
615,2625.6217761325606
619,2345.487198628444
626,2455.4611074654513
632,2467.9374276856934
633,2639.3867902998163
638,2499.8746891057085
649,2445.1511710208774
652,2442.61193102739
657,2510.055632663944
661,2731.728150216587
663,2490.4913379446434
664,2642.866570703802
667,2515.562992463173
671,2406.2072706987196
672,2298.722746878899
677,2456.2748155959066
678,2501.299810262046
685,2600.4088545287163
689,2578.302564263618
697,2374.4942519007905
699,2659.927355394501
700,2317.664977963865
702,2650.5708830979192
707,2489.5732952459703
708,2558.670974815153
710,2473.326778498333
714,2416.6873937689547
720,2457.3597984747685
726,2542.39577999106
727,2429.8832560757983
728,2406.836491009017
730,2628.03848964725
731,2360.1797199825473
732,2492.6587568253867
734,2407.8787041336163
738,2471.605692317708
742,2450.8587867598985
750,2548.216066582525
751,2603.740089055937
752,2506.814079440125
753,2539.720336715787
765,2495.406000179717
766,2742.0652560377516
768,2506.361089079452
769,2565.292774723353
773,2563.122474632454
775,2581.9269778611
778,2360.5997674580763
779,2415.9286087605838
789,2428.047831289485
790,2506.944340108937
794,2508.431132052796
803,2525.781782714087
809,2430.71388752089
817,2498.1661231795983
820,2352.3208909018526
822,2347.10096821024
833,2536.1219330523822
836,2611.130701195172
837,2423.758279886462
839,2493.1220102540815
840,2327.8315838655367
842,2572.562021071749
845,2380.410986306622
853,2557.6885523013916
857,2597.660443689157
866,2448.8795265652593
867,2463.1869221672496
868,2582.5931833485824
871,2507.4954373274445
877,2448.6861108408198
882,2641.7090284679734
885,2393.397273021018
887,2514.9486488706434
890,2493.9439906645794
895,2506.682042045251
896,2467.0215314769484
905,2348.213495171248
912,2593.345164402853
913,2583.7992598777887
920,2569.7659089226777
928,2468.143000670818
932,2426.4054705399376
938,2516.064749849323
942,2519.603331745386
953,2566.526361336265
954,2666.2036289090984
955,2586.997706652617
958,2463.035745132531
960,2518.374296750752
972,2518.341336442611
977,2708.3128822926415
984,2375.651601886487
994,2504.8972877193187
995,2537.2465612577184
1007,2453.116923556625
1011,2626.9587252886627
1014,2440.4278429644382
1015,2593.455966316015
1016,2535.976174158678
1021,2394.8407196308794
1028,2484.1120309822763
1034,2712.048792931181
1038,2328.031284882018
1044,2442.4652386842095
1046,2433.43426770033
1048,2355.193999386714
1049,2523.057578925193
1051,2407.2085377820267
1052,2561.519385050524
1054,2475.633178145493
1059,2409.1820775637902
1060,2516.9329234279867
1068,2398.576359012614
1069,2389.2126888075813
1071,2361.981677483145
1077,2430.612858971172
1082,2403.1116318953596
1091,2543.757063610745
1094,2526.1107067493426
1098,2564.760448669688
1105,2328.302727196592
1109,2596.607039738909
1112,2361.921667324505
1115,2502.5373540483083
1116,2585.465499471271
1124,2466.2863914958525
1130,2531.7743486299114
1141,2615.6311300212383
1143,2655.4816099454792
1144,2414.552355481956
1155,2700.8645103898407
1157,2666.949544674108
1158,2446.4674332052073
1160,2354.7422981600153
1161,2512.316403465849
1167,2490.421371053989
1170,2434.8644369820195
1174,2683.8847024183906
1178,2520.910067441146
1179,2403.127489194831
1181,2640.484945824902
1184,2618.3220625782487
1187,2456.933895634708
1190,2472.3354767245514
1191,2567.7847341662327
1194,2418.985630579752
1196,2335.3509345641087
1198,2378.9479242624716
1199,2470.2109394912
1201,2457.599808992468
1205,2460.7226984172785
1206,2421.2733801293666
1211,2494.497583141283
1215,2678.777630840049
1217,2570.9917989252954
1218,2464.1690692135458
1225,2455.752089745669
1226,2411.7396047764273
1229,2546.421764685681
1231,2426.388373814624
1232,2594.8883637433128
1233,2629.814715968637
1237,2409.5265206119466
1240,2628.611509654621
1246,2421.7230086312384
1247,2515.87556406395
1249,2638.770704644691
1262,2524.342013603423
1274,2790.3925961565515
1275,2711.7967082214436
1279,2540.8982769519994
1281,2520.877338981489
1282,2638.5000248972847
1289,2540.6073113309453
1290,2443.501016501417
1292,2505.43888141433
1294,2511.848886320785
1297,2675.1332424980355
1298,2391.9756031154716
1302,2513.4626824403153
1309,2540.5204757273405
1313,2524.462532918524
1316,2492.9182775010863
1317,2479.3894892105227
1321,2507.5449757682286
1325,2540.8368873095224
1329,2384.320963988293
1332,2555.503858210624
1334,2571.575577967138
1335,2442.2465478317154
1337,2404.832979589488
1342,2586.077255956094
1345,2655.449036051465
1346,2651.3023190102326
1347,2563.2165138159207
1348,2575.3766973245924
1359,2409.0295620406496
1362,2580.737131263092
1364,2574.58829209077
1365,2458.892404559921
1367,2471.599288961636
1368,2554.200804556731
1373,2369.442515186759
1375,2543.2222478033323
1377,2412.865511328123
1381,2526.3126254782837
1384,2523.2846906176533
1386,2474.3952552653554
1387,2480.5450357310465
1390,2420.437463103614
1403,2630.231307497714
1404,2587.5916610583895
1408,2534.018839790896
1409,2375.1387243274753
1413,2575.3082329671292
1414,2436.486192883863
1415,2442.889569658961
1416,2550.9958747947494
1418,2482.739265317855
1421,2292.0966844609434
1422,2425.7468499829956
1430,2457.3620492488794
1432,2482.6347936773604
1449,2541.0541578210496
1460,2429.4759493975553
1461,2564.789880194946
1462,2442.1244341312977
1465,2455.2430943421555
1476,2468.7083507439997
1487,2511.323413876816
1491,2547.6997736527705
1493,2497.5567672673687
1494,2643.049708711738
1502,2444.9987545281733
1504,2315.2453765794617
1507,2590.3035679308528
1521,2655.382079567982
1523,2604.496549182938
1525,2642.0342302208155
1528,2357.997547338205
1529,2462.5199175378693
1532,2392.9903564892916
1534,2501.9498461549065
1539,2616.1276588723867
1541,2392.762571871438
1565,2496.6953748365663
1567,2527.128808753506
1570,2372.08112628276
